memory profiling: sample.interval=20000
:2163099:285779546:212623432:0:".Call" "bind_rows_" "bind_rows" 
:2163099:286064629:212758224:0:".Call" "bind_rows_" "bind_rows" 
:2163099:286331704:212884224:0:".Call" "bind_rows_" "bind_rows" 
:2163099:286566823:213000480:0:".Call" "bind_rows_" "bind_rows" 
:2163099:286787605:213104640:0:".Call" "bind_rows_" "bind_rows" 
:2163099:286998891:213204320:0:".Call" "bind_rows_" "bind_rows" 
:2163099:287210177:213304000:0:".Call" "bind_rows_" "bind_rows" 
:2163099:287415528:213400880:0:".Call" "bind_rows_" "bind_rows" 
:2163099:287655302:213514000:0:".Call" "bind_rows_" "bind_rows" 
:2163099:287904572:213631600:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288175208:213759280:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288385307:213858400:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288564544:213942960:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288767521:214038720:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215813416:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
:2163099:288919254:215945016:0:".Call" "bind_rows_" "bind_rows" 
